Word,Length,SUBTLWF,Ortho_N,Phono_N,Concreteness_Rating,Age_Of_Acquisition,BG_Mean,Pron,NPhon,NSyll,NMorph,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
a,1,"20,415.27",1,8,1.46,2.893,#,"""e",1,1,1,662.087,0.958
Aaron,5,14.65,3,2,#,#,"2,429.75","""E.r@n",4,2,1,686.111,1
aback,5,0.29,0,2,1.65,#,"1,047.25","@.b""ak",4,2,1,596.538,0.963
abacus,6,0.24,0,0,4.52,8.69,"1,074.40","""a.b@.k@s",6,3,1,792.688,0.615
abandon,7,8.1,0,0,2.54,8.32,"2,037.00","@.b""an.4@n",7,3,1,623.963,1
abandoned,9,13.29,0,0,2.52,8.32,"2,372.75","@.b""an.4@nd",8,3,2,635.16,1
abandoning,10,1.69,0,0,#,8.32,"2,728.22","@.b""an.4@n.IN",9,4,2,782.783,0.92
abandonment,11,0.96,0,0,2.54,10.27,"2,088.40","@.b""an.4@n.m@nt",11,4,2,794.696,0.958
abase,5,0.06,3,2,#,14.57,"1,316.50","@.b""es",4,2,2,646.565,0.852
abasement,9,#,0,0,1.67,15.131,"1,856.50","@.b""es.m@nt",8,3,3,809.741,0.964
abash,5,#,2,1,#,#,"1,132.50","@.b""aS",4,2,1,594.429,0.966
abate,5,0.1,1,5,#,14.44,"2,589.75","@.b""et",4,2,1,668.393,1
abated,6,0.08,0,2,#,14.44,"2,968.80","@.b""e4.@d",6,3,2,693.28,0.962
abbess,6,0.04,0,2,#,15.43,"1,619.80","""a.b@s",4,2,1,797,0.56
abbey,5,3.18,0,4,#,13.06,568.75,"""a.bi",3,2,1,682.565,0.92
abbot,5,0.84,0,1,#,12.104,712.5,"""a.b@t",4,2,1,750.13,0.821
abbreviate,10,0.02,0,0,2.59,9.95,"1,915.67","@.br""i.vi.et",8,4,3,708.444,0.964
abbreviated,11,0.31,0,0,3.1,10.5,"2,172.60","@.br""i.vi.%e4.@d",10,5,4,695.63,1
abbreviation,12,0.24,0,0,3.07,9.11,"2,248.82","@.br%i.vi.""e.Sn=",9,5,4,714.929,1
abbreviations,13,0.2,0,0,#,9.11,"2,216.08","@.br%i.vi.""e.Sn=z",10,5,5,689.48,1
abdicate,8,0.18,0,0,2.08,12.6,"2,224.00","""ab.d@.ket",7,3,1,819.909,0.846
abdomen,7,3.35,0,0,4.7,8.61,"1,397.00","""ab.d@.m@n",7,3,1,758.667,0.964
abdominal,9,3.41,0,0,4.28,10.24,"1,947.88","ab.d""A.m@.nl=",8,4,2,737.762,0.875
abduct,6,0.71,0,0,2.88,11.26,592.4,"@b.d""Vkt",6,2,2,707.815,1
abduction,9,3.63,0,0,3.07,11.94,"1,856.63","@b.d""Vk.Sn=",7,3,3,667.385,0.929
Abe,3,#,9,13,#,#,932,"""eb",2,1,1,625.519,1
abed,4,0.2,4,4,#,#,"2,116.33","@.b""Ed",4,2,1,634.5,0.929
Abel,4,1.33,2,2,#,#,"1,199.33","""e.bl=",3,2,1,713.92,0.962
Abel's,6,#,0,0,#,#,933.6,"""e.bl=z",4,2,2,775.84,0.926
aberrant,8,0.29,0,0,#,13.31,"2,602.14","@.b""E.r@nt",7,3,2,818.762,0.75
aberration,10,0.55,0,0,#,12.69,"3,087.33","%a.b@`.r""e.Sn=",7,4,3,882.481,1
aberrations,11,0.16,0,0,#,12.69,"2,964.20","%a.b@`.r""e.Sn=z",8,4,4,829.625,0.889
abet,4,0.1,3,4,#,12.15,"1,072.67","@.b""Et",4,2,1,619.136,0.815
abetted,7,0.16,0,1,#,12.15,"2,128.33","@.b""E4.@d",6,3,2,654.625,0.857
abeyance,8,0.04,0,0,#,15,"1,246.71","@.b""e@ns",6,2,2,889.75,0.6
abhor,5,0.24,0,0,1.81,13.76,"1,240.50","@b.h""Or",5,2,1,789,0.815
abhorred,8,0.14,0,0,#,13.76,"2,081.00","@b.h""Ord",6,2,2,791.882,0.654
abhorrent,9,0.18,0,0,#,12.14,"2,114.50","@b.h""Or.@nt",8,3,2,781.316,0.704
abide,5,2.71,3,3,1.68,9.5,"1,267.25","@.b""aId",4,2,1,633.828,1
abides,6,0.08,0,0,#,9.5,"1,911.60","@.b""aIdz",5,2,2,696.222,1
abiding,7,0.49,0,0,2.07,10.3,"2,526.50","@.b""aI4.IN",6,3,2,620.16,0.962
Abigail,7,3.02,0,0,#,#,900.833,"""a.b@.gel",6,3,1,802.154,1
abilities,9,6.12,0,0,#,8.84,"2,312.25","@.b""Il.@.4iz",8,4,3,711.815,0.964
ability,7,19.22,1,1,1.81,8.84,"1,446.83","@.b""Il.@.4i",7,4,2,583.037,1
abject,6,0.39,1,0,1.67,14,724.4,"""ab.dZEkt",6,2,1,768.385,0.929
ablaze,6,0.41,0,0,3.82,10.83,962.6,"@.bl""ez",5,2,2,644.36,0.926
able,4,159.9,2,2,2.38,7.79,"1,867.33","""e.bl=",3,2,1,628.214,1
ably,4,0.18,2,0,1.78,#,"1,243.33","""e.bli",4,2,2,773.833,0.857
abnormal,8,2.9,0,0,2.14,10.05,"1,413.57","ab.n""Or.ml=",7,3,3,673.385,1
abnormalities,13,0.49,0,0,#,11.58,"2,111.58","%ab.nOr.m""al.@.4iz",12,5,5,724.481,1
abnormality,11,0.51,0,0,2.48,11.58,"1,552.20","%ab.nOr.m""al.@.4i",11,5,4,671.48,0.926
abnormally,10,0.39,0,0,1.75,#,"1,450.67","ab.n""Or.ml=.i",8,4,4,639.04,0.962
aboard,6,26.63,0,5,3.97,8.662,"1,156.60","@.b""Ord",5,2,1,654.87,0.885
abode,5,0.65,3,2,3.92,12.06,"1,226.50","@.b""od",4,2,1,665.958,0.889
abolish,7,0.47,0,0,2.19,10.42,"1,645.00","@.b""A.lIS",6,3,1,654.759,1
abolished,9,0.39,0,0,#,10.42,"2,013.00","@.b""A.lISt",7,3,2,659.321,1
abolition,9,0.2,0,0,2.43,13.28,"2,485.50","%a.b@.l""IS.n=",7,4,2,904.143,0.875
abolitionist,12,0.22,0,0,3.28,12.6,"2,520.55","%a.b@.l""IS.n=.Ist",10,5,3,917.083,0.857
abolitionists,13,0.25,0,0,#,12.6,"2,394.33","%a.b@.l""IS.n=.Ists",11,5,4,859.375,0.889
abominable,10,0.63,0,0,1.89,8.94,"2,031.44","@.b""A.m@.n@.bl=",9,5,2,899.211,0.76
abominate,9,0.06,0,0,1.68,15,"2,657.13","@.b""A.m@.net",8,4,2,849,0.875
aboriginal,10,0.18,0,1,3.12,14.75,"2,242.22","%a.b@`.r""I.dZ@.nl=",9,5,3,923.682,0.957
aborigine,9,0.08,0,1,#,12.56,"2,245.50","%a.b@`.r""I.dZ@.ni",9,5,3,951.933,0.682
aborigines,10,0.18,0,0,#,12.56,"2,494.78","%a.b@`.r""I.dZ@.niz",10,5,4,875.941,0.81
abort,5,4.61,1,2,2.83,12.21,"1,381.75","@.b""Ort",5,2,1,583.704,1
abortion,8,7.24,0,1,3.41,13.21,"2,488.29","@.b""Or.Sn=",6,3,2,660.692,1
abortionist,11,0.08,0,0,3.19,15,"2,526.00","@.b""Or.Sn=.Ist",9,4,3,807.792,1
abortions,9,0.69,0,0,#,13.21,"2,409.25","@.b""Or.Sn=z",7,3,3,643.481,0.964
abortive,8,0.02,0,0,1.88,13.93,"1,868.29","@.b""Or4.Iv",7,3,2,713.444,0.964
abound,6,0.35,1,0,2.27,11.65,"1,412.60","@.b""aUnd",5,2,1,596.333,1
abounded,8,0.06,0,2,#,11.65,"2,021.29","@.b""aUn4.@d",7,3,2,685.542,0.923
abounding,9,0.08,0,2,2.04,11.65,"2,469.25","@.b""aUn4.IN",7,3,2,657,0.964
abounds,7,0.2,0,0,#,11.65,"1,246.33","@.b""aUndz",6,2,2,614.667,0.964
about,5,"3,631.49",1,3,1.77,5.071,"1,096.75","@.b""aUt",4,2,1,560.429,0.966
above,5,48.88,1,1,3.33,4.549,"1,053.00","@.b""Vv",4,2,1,561.393,1
aboveground,11,0.14,0,0,4.03,8.05,"1,283.00","@.b""Vv.gr%aUnd",9,3,2,755.889,1
abracadabra,11,1.04,0,0,2.04,6.89,"1,423.40","%a.br@.k@.d""a.br@",11,5,1,950.955,0.917
Abraham,7,5.18,0,0,#,#,"1,141.50","""e.br@.h%am",7,3,1,729.885,0.963
abrasion,8,0.35,0,0,4.57,11.95,"2,136.43","@.br""e.Zn=",6,3,2,751.56,0.962
abrasive,8,0.45,0,0,3.03,12.22,"1,516.43","@.br""es.Iv",7,3,2,635.538,0.963
abreast,7,0.51,0,3,2.23,13.06,"2,159.17","@.br""Est",6,2,1,711,0.923
abridged,8,0.18,0,0,1.77,12.56,"1,590.71","@.br""IdZd",6,2,2,758.536,1
abridgment,10,#,0,0,2.67,#,"1,563.78","@.br""IdZ.m@nt",9,3,2,786.957,0.958
abroad,6,4.9,0,0,2.72,10.154,"1,039.00","@.br""Od",5,2,1,621.704,1
abrogate,8,0.02,0,0,#,15.22,"1,917.14","""a.br@.get",7,3,3,"1,052.43",0.778
abrogated,9,0.04,0,0,#,15.22,"2,238.13","""a.br@.g%e4.@d",9,4,4,805.882,0.739
abrupt,6,1.14,0,0,2.27,10.95,602.6,"@.br""Vpt",6,2,1,584.889,1
abruptly,8,0.88,0,0,2.36,#,711,"@.br""Vpt.li",8,3,2,637.786,1
abruptness,10,0.08,0,0,2.04,12.39,"1,268.00","@.br""Vpt.n@s",9,3,2,768.5,1
abscess,7,0.49,0,3,4.48,13.11,"1,633.17","""ab.sEs",5,2,1,801.45,0.833
abscesses,9,0.14,0,3,#,13.11,"2,039.88","""ab.sEs.@z",7,3,2,997.056,0.72
abscissa,8,#,0,0,#,#,"1,165.57","ab.s""I.s@",6,3,2,748.571,0.304
abscond,7,0.1,0,0,#,13.36,"1,824.67","@b.sk""And",7,2,1,803.2,0.714
absence,7,6.31,0,2,2.31,7.7,"1,684.50","""ab.sn=s",5,2,2,666.148,1
absences,8,0.27,0,1,#,7.7,"2,085.14","""ab.sn=s.@z",7,3,3,713,0.964
absent,6,2.57,1,1,2.7,6.5,"2,019.00","""ab.sn=t",5,2,2,607.885,1
absented,8,#,2,1,#,#,"2,710.71","ab.s""En4.@d",8,3,3,792.208,0.857
absentee,8,0.35,1,0,3.29,11,"2,194.29","%ab.sn=t.""i",6,3,3,671.087,0.852
absenteeism,11,0.1,0,0,2.35,13.43,"1,895.50","%ab.sn=t.""i.I.zm=",9,5,4,917.857,0.913
absently,8,#,0,0,1.71,#,"1,722.71","""ab.sn=t.li",7,3,3,716.077,0.929
absentmindedly,14,#,0,0,1.76,#,"2,242.92","%ab.sn=t.m""aIn4.@d.li",13,5,5,835.056,0.72
absinth,7,#,0,0,#,#,"2,360.67","""ab.sInT",6,2,1,710.3,0.435
absolute,8,11.31,0,0,1.81,8.53,"1,318.29","""ab.s@.l%ut",7,3,1,578.286,1
absolutely,10,113.12,0,0,1.97,7.085,"1,389.56","%ab.s@.l""ut.li",9,4,2,682.464,1
absoluteness,12,0.02,0,0,1.5,12.68,"1,943.55","""ab.s@.l%ut.n@s",10,4,2,707.25,1
absolutes,9,0.41,0,0,#,8.53,"1,714.63","""ab.s@.l%uts",8,3,2,666.5,1
absolution,10,0.94,0,0,1.78,11.71,"1,858.22","%ab.s@.l""u.Sn=",8,4,2,695.852,1
absolutism,10,#,0,0,1.46,#,"1,432.78","""ab.s@.l%u4.I.zm=",10,5,2,904.609,0.793
absolve,7,0.57,0,0,1.85,12.9,886.333,"@b.z""Alv",6,2,2,653.296,1
